** Train timings in this log file are not correct. **

Experiment to train VESICLE-CNN-2 to predict synapses, using straight upadted vesicle architecture.
Experiment conducted at:12/10/2017 10:31:19.

Experimental setup:
Training settings:
	Learning scheme: ADAM
	Training steps:  300001
	Optimize weighted cross entropy
	Select best network from F1

	Training ratio: 0.100000
	Training weight: 0.100000
	FC units: 1024.000000
step 286000, validation accuracy 0.989716, cross entropy 0.39845, f1(ave) 0.524153
step 287000, validation accuracy 0.991452, cross entropy 0.390958, f1(ave) 0.565314
step 288000, validation accuracy 0.992102, cross entropy 0.388301, f1(ave) 0.575159
step 289000, validation accuracy 0.990847, cross entropy 0.39376, f1(ave) 0.546699
step 290000, validation accuracy 0.990093, cross entropy 0.396902, f1(ave) 0.530663
step 291000, validation accuracy 0.992303, cross entropy 0.38687, f1(ave) 0.580649
step 292000, validation accuracy 0.991816, cross entropy 0.389437, f1(ave) 0.569193
step 293000, validation accuracy 0.990803, cross entropy 0.393819, f1(ave) 0.549674
step 294000, validation accuracy 0.989804, cross entropy 0.398726, f1(ave) 0.529572
step 295000, validation accuracy 0.98961, cross entropy 0.399282, f1(ave) 0.518644
step 296000, validation accuracy 0.989793, cross entropy 0.398838, f1(ave) 0.526291
step 297000, validation accuracy 0.9909, cross entropy 0.393756, f1(ave) 0.551491
step 298000, validation accuracy 0.989937, cross entropy 0.397866, f1(ave) 0.529788
step 299000, validation accuracy 0.990516, cross entropy 0.395245, f1(ave) 0.541562
step 300000, validation accuracy 0.990022, cross entropy 0.39763, f1(ave) 0.534921

Average training step time: 0.056903 s 

Validation accuracy using single best validated model, applied to whole of validation set: 

	 Validation error: 0.993199
	 Validation XEnt: 0.383207
	 Validation F1: 0.599431
	
TESTING ALGORITHM
Algorithm values saved at: VCNN-2_train_2017_10_12_10_31_19_0

Average application time per frame: 0.434166 s 

syn-train

Precision:  0.908059 

Recall:     0.655706 

F1:         0.761521 


Average application time per frame: 0.423202 s 

syn-validation

Precision:  0.707954 

Recall:     0.531751 

F1:         0.60733 


Average application time per frame: 0.423204 s 

syn-test

Precision:  0.867733 

Recall:     0.631502 

F1:         0.731006 

